番号,氏名,離職時の年齢,離職時の官職,出身府省庁（推定）,離職日,再就職日,再就職先の名称,再就職先の業務内容,再就職先における地位,求職の承認の有無,センター援助の有無
445,北島　伸彦,60,門司税関総務部部付,総務省,2024-07-01,2024-09-01,日本通運株式会社,輸送、倉庫、通関業等の物流事業全般及び関連事業,福岡航空支店調査役,無,無
446,木屋　一浩,59,東京税関総務部部付,総務省,2024-07-01,2024-09-01,一般財団法人日本貿易関係手続簡易化協会,貿易手続の簡易化等に係る調査研究、国際機関等との連携・協力等,コード部部長,無,無
447,黒木　清,60,神戸税関六甲アイランド出張所長,税関,2024-07-01,2024-09-01,多木物流株式会社,一般港湾運送事業、港湾荷役事業、倉庫業、通関業等,顧問,無,無
448,黒木　清,60,神戸税関六甲アイランド出張所長,税関,2024-07-01,2024-09-01,神戸通関業会,通関業務等に関する調査、研究、情報収集等,常務理事,無,無
449,黒木　利幸,59,門司税関博多税関支署長,税関,2024-07-01,2024-10-01,日産自動車株式会社,自動車製造・販売業,サプライチェーンマネジメント本部日本物流部車両物流グループ副長,無,無
450,小阪　好洋,61,財務省大臣官房付,財務省,2024-07-01,2024-09-01,公益財団法人日本関税協会,貿易と関税に関する調査研究・提言事業、普及・啓発事業、教育・研修事業等,知的財産情報センター事務局長,無,有
451,五島　拓也,60,横浜税関川崎外郵出張所長,税関,2024-07-01,2024-10-01,株式会社オリエンタルランド,テーマパーク事業の運営,理事,無,無
452,斎藤　誉,58,東海財務局総務部次長,総務省,2024-07-01,2024-11-19,一般社団法人東海地区信用金庫協会,東海地区の信用金庫の健全な発展を図るための事業,事務局長,無,無
453,佐藤　誠司,59,横浜税関本牧埠頭出張所長,税関,2024-07-01,2024-10-01,公益財団法人日本関税協会,貿易と関税に関する調査研究・提言事業、普及・啓発事業、教育・研修事業等,横浜支部事務局長,無,有
454,佐藤　尚武,60,東京税関総務部部付,総務省,2024-07-01,2024-09-01,国際空港上屋株式会社,国際航空貨物の取扱い（仕分け、照合、点検等）及び保管等,法令監査室顧問,無,無
455,塩﨑　真治,60,東海財務局管財部次長,財務省,2024-07-01,2024-11-01,安藤証券株式会社,証券業,管理部長,無,無
456,杉浦　竜二,60,名古屋税関西部出張所長,税関,2024-07-01,2024-10-01,株式会社テクノ中部,発電設備等の工事・運転及び保守管理等、運送業、通関業及び船舶代理店業,専任部長,無,無
457,杉田　真一郎,60,門司税関福岡空港税関支署長,税関,2024-07-01,2024-10-01,日本通運株式会社,輸送、倉庫、通関業等の物流事業全般及び関連事業,門司海運支店調査役,無,無
458,髙橋　幸喜,59,横浜税関業務部長,税関,2024-07-01,2024-10-01,横浜通関業会,通関業務等に関する調査、研究、情報収集等,顧問,無,無
459,髙橋　幸喜,59,横浜税関業務部長,税関,2024-07-01,2024-11-01,横浜通関業会,通関業務等に関する調査、研究、情報収集等,常務理事,無,無
460,髙橋　智,59,関東財務局総務部部付,総務省,2024-07-01,2024-10-01,日本貸金業協会,貸金業者の業務の適正な運営の確保,審議役,無,有
461,滝沢　里,60,東京税関成田航空貨物出張所次長,税関,2024-07-01,2024-09-01,冨士運輸株式会社,輸送、倉庫業、通関業等,顧問,無,無
462,田中　徹,60,東京税関大井出張所長,税関,2024-07-01,2024-09-01,丸紅株式会社,総合商社,コンプライアンス統括部部長補佐,無,無
463,田中　文朗,59,神戸税関総務部部付,総務省,2024-07-01,2024-09-01,加藤海運株式会社,海運業、港湾運送事業、通関業、倉庫業等,参与,無,無
464,田中　文朗,59,神戸税関総務部部付,総務省,2024-07-01,2024-10-01,川崎重工業株式会社,船舶、鉄道車両、航空機、宇宙機器、ジェットエンジン、各種エネルギー設備等の製造販売,顧問,無,無
465,富岡　義之,59,大阪税関堺税関支署長,税関,2024-07-01,2024-10-01,新洋海運株式会社,国際輸送、通関、倉庫・配送等,嘱託（参与）,無,無
466,中川　秀夫,60,名古屋税関業務部長,税関,2024-07-01,2024-10-01,名古屋通関業会,通関業務等に関する調査、研究、情報収集等,専務理事,無,無
467,中島　和正,60,財務省大臣官房厚生管理官,財務省,2024-07-01,2024-09-01,富士通株式会社,通信機器・装置・システムの製造及び販売等,シニアアドバイザー,無,無
468,長野　収,59,神戸税関調査部次長,税関,2024-07-01,2024-10-01,株式会社住友倉庫,倉庫業、港湾運送業、通関業等,嘱託社員,無,無
469,中野　公彦,59,門司税関総務部部付,総務省,2024-07-01,2024-10-01,相互運輸株式会社,荷役、通関、倉庫、陸送等港湾運送業務,監査部調査役,無,無
470,縫　武寿,59,大阪税関監視部長,税関,2024-07-01,2024-09-01,鴻池運輸株式会社,港湾運送事業、貨物利用運送事業、倉庫業、通関業等,国際物流関西支店長付,無,無
471,橋本　信仁,59,東京税関総務部部付,総務省,2024-07-01,2024-09-02,一般社団法人日本通関業連合会,通関業の健全な発展を図るための調査・研究、通関業務に関する調査研究・相談、通関業務に関する研修会・講演会・国際会議の実施等,研修部長,無,無
472,蜂谷　和則,60,財務省大臣官房付,財務省,2024-07-01,2024-08-19,ヒロタグループホールディングス株式会社,コンサルティング業,経営管理室室長,無,無
473,原　美晴,60,関東財務局総務部部付,総務省,2024-07-01,2024-10-01,佐原信用金庫,金融業,経営企画部審議役,無,無
474,藤田　知昭,59,東京税関業務部次長,税関,2024-07-01,2024-10-01,株式会社OCS,国際輸送サービス業、通関業等,顧問,無,無
475,布施　航,59,大阪税関調査部長,税関,2024-07-01,2024-10-01,ニデック株式会社,精密小型モータ、車載及び家電・商業・産業用モータ、機器装置、電子・光学部品、その他開発・製造・販売,嘱託（主幹）,無,無
476,増田　哲也,59,名古屋税関四日市税関支署長,税関,2024-07-01,2024-10-01,株式会社近鉄エクスプレス,貨物利用運送事業（航空、海上、鉄道）、航空運送代理店業、通関業、倉庫業等,調査役,無,無
477,升平　弘美,59,財務省大臣官房付,財務省,2024-07-01,2024-09-01,日本空港ビルデング株式会社,空港ビル管理等,審議役,無,無
478,水野　耕一,59,名古屋税関監視部長,税関,2024-07-01,2024-10-01,公益財団法人日本関税協会,貿易と関税に関する調査研究・提言事業、普及・啓発事業、教育・研修事業等,嘱託職員（名古屋支部事務局長）,無,有
479,簑和田　広行,59,東京税関東京外郵出張所長,税関,2024-07-01,2024-10-01,株式会社近鉄エクスプレス,貨物利用運送事業（航空、海上、鉄道）、航空運送代理店業、通関業、倉庫業等,調査役,無,無
480,本山　由史,60,神戸税関総務部次長,総務省,2024-07-01,2024-10-01,神鋼物流株式会社,通関業、倉庫業、港湾運送業等,主任部員,無,無
481,森　昌己,59,名古屋税関調査部次長,税関,2024-07-01,2024-10-01,トヨフジ海運株式会社,海上運送、船内・沿岸荷役、通関及び自動車運送取扱等に関する事業,嘱託社員（シニアアドバイザー）,無,無
482,山口　清光,58,近畿財務局京都財務事務所長,財務省,2024-07-01,2024-07-02,尼崎信用金庫,金融業,執行役員監査部担当,無,有
483,伊野　彰洋,59,財務省大臣官房付,財務省,2024-07-05,2024-11-11,一般社団法人投資信託協会,投資信託委託会社等を会員とする金融商品取引法上の自主規制機関,参与,無,無
484,大内　聡,59,財務省大臣官房付,財務省,2024-07-05,2024-10-01,株式会社シーラテクノロジーズ,資産運用プラットフォームの提供、AI開発等,顧問,無,無
485,大内　聡,59,財務省大臣官房付,財務省,2024-07-05,2024-10-01,株式会社ジャパンM&Aインキュベーション,コンサルティング業,顧問,無,無
486,大内　聡,59,財務省大臣官房付,財務省,2024-07-05,2024-10-01,自営業,コンサルタント業務,-,無,無
487,大内　聡,59,財務省大臣官房付,財務省,2024-07-05,2024-12-01,株式会社栄農人,農業生産、加工、青果卸等,顧問,無,無
488,大久保　誠,59,財務省大臣官房付,財務省,2024-07-05,2024-09-01,一般財団法人民間都市開発推進機構,民間都市開発事業を推進するための援助の実施、都市開発分野における調査研究等,参与（監査）,無,無
489,源新　英明,59,財務省大臣官房付,財務省,2024-07-05,2025-01-01,JPインベストメント株式会社,投資運用業,統括役（エグゼクティブアドバイザー）,無,無
490,児玉　光載,60,財務省大臣官房付,財務省,2024-07-05,2024-09-17,フィンテックグローバル株式会社,投資銀行事業等,事業開発本部特別参与,無,無
491,住澤　整,58,国税庁長官,国税,2024-07-05,2024-10-16,長島・大野・常松法律事務所,弁護士業,顧問,無,無
492,住澤　整,58,国税庁長官,国税,2024-07-05,2024-11-01,自営業,コンサルタント業務,-,無,無
493,住澤　整,58,国税庁長官,国税,2024-07-05,2025-01-24,メディカル・マネジメント・プランニング・グループ,医業経営コンサルタント,参与,無,無
494,茶谷　栄治,61,財務事務次官,財務省,2024-07-05,2024-11-01,フォートレス・インベストメント・グループ・ジャパン合同会社,投資運用業務,シニアアドバイザー,無,無
495,茶谷　栄治,61,財務事務次官,財務省,2024-07-05,2024-11-01,みずほリサーチ&テクノロジーズ株式会社,調査研究,理事長,無,無
496,茶谷　栄治,61,財務事務次官,財務省,2024-07-05,2025-01-01,西村あさひ法律事務所・外国法共同事業,弁護士業,顧問,無,無
497,茶谷　栄治,61,財務事務次官,財務省,2024-07-05,2025-01-23,西村あさひ法律事務所・外国法共同事業,弁護士業,顧問（オブカウンセル）,無,無
498,茶谷　栄治,61,財務事務次官,財務省,2024-07-05,2025-02-01,コンソナント・インベストメント・マネジメント株式会社,不動産金融に関する投資運用,シニアアドバイザー,無,無
499,富山　一成,60,財務省大臣官房付,財務省,2024-07-05,2025-02-01,一般社団法人第二地方銀行協会,会員の業務改善に関する調査研究、金融及び経済に関する調査研究等,参与,無,無
500,武藤　功哉,58,財務省大臣官房付,財務省,2024-07-05,2024-12-01,デロイトトーマツ税理士法人,税理士業,パートナー,無,無
501,渡部　晶,60,財務省会計センター所長,財務省,2024-07-05,2024-12-01,三菱重工業株式会社,エナジー、プラント・インフラ、物流・冷熱・ドライブシステム、航空・防衛・宇宙に係る事業,顧問,無,無
502,武士俣　隆介,41,財務省大臣官房企画官,財務省,2024-07-08,2024-07-16,アンダーソン・毛利・友常法律事務所外国法共同事業,弁護士業,アソシエイト弁護士,無,無
503,足立　道夫,60,国税庁広島国税局広島東税務署長,国税,2024-07-10,2024-08-22,足立道夫税理士事務所,税理士業,開業税理士,無,無
504,穴澤　靖,61,国税庁東京国税局甲府税務署長,国税,2024-07-10,2024-08-22,穴澤靖税理士事務所,税理士業,開業税理士,無,無
505,阿部　輝男,61,国税庁東京国税局新宿税務署長,国税,2024-07-10,2024-08-05,税理士法人江本＆パートナーズ,税理士業,事務員,無,無
506,阿部　輝男,61,国税庁東京国税局新宿税務署長,国税,2024-07-10,2024-09-24,税理士法人江本&パートナーズ,税理士業,丸の内東京本部所属税理士,無,無
507,尼﨑　和朗,60,国税庁福岡国税局長崎税務署長,国税,2024-07-10,2024-08-22,尼﨑和朗税理士事務所,税理士業,開業税理士,無,無
508,池田　龍太郎,60,国税庁東京国税局緑税務署長,国税,2024-07-10,2024-08-22,池田龍太郎税理士事務所,税理士業,開業税理士,無,無
509,池戸　哲郎,61,国税庁名古屋国税局中川税務署長,国税,2024-07-10,2024-09-24,池戸哲郎税理士事務所,税理士業,開業税理士,無,無
510,池戸　哲郎,61,国税庁名古屋国税局中川税務署長,国税,2024-07-10,2024-10-01,小原泰史税理士事務所,税理士業,所属税理士,無,無
511,井坂　好孝,61,国税庁名古屋国税局名古屋中税務署長,国税,2024-07-10,2024-09-24,井坂好孝税理士事務所,税理士業,開業税理士,無,無
512,石橋　史祥,61,国税庁東京国税局練馬西税務署長,国税,2024-07-10,2024-08-22,石橋史祥税理士事務所,税理士業,開業税理士,無,無
513,石橋　史祥,61,国税庁東京国税局練馬西税務署長,国税,2024-07-10,2024-10-01,税理士法人ヒイラギ,税理士業,社員税理士,無,無
514,板倉　弘至,60,国税庁東京国税局渋谷税務署長,国税,2024-07-10,2024-08-22,板倉弘至税理士事務所,税理士業,開業税理士,無,無
515,板倉　弘至,60,国税庁東京国税局渋谷税務署長,国税,2024-07-10,2024-09-01,税理士法人大手町トラスト,税理士業,顧問,無,無
516,今村　宏嗣,60,国税庁東京国税局西新井税務署長,国税,2024-07-10,2024-08-22,今村宏嗣税理士事務所,税理士業,開業税理士,無,無
517,岩松　久人,60,国税庁福岡国税局徴収部長,国税,2024-07-10,2024-08-22,佐藤祐一税理士事務所,税理士業,所属税理士,無,無
518,植木　伸二,61,国税庁大阪国税局中京税務署長,国税,2024-07-10,2024-08-22,植木伸二税理士事務所,税理士業,開業税理士,無,無
519,上野　英二,60,国税庁熊本国税局大分税務署長,国税,2024-07-10,2024-09-24,上野英二税理士事務所,税理士業,開業税理士,無,無
520,上野　英二,60,国税庁熊本国税局大分税務署長,国税,2024-07-10,2024-12-23,有限会社ケイエイシー会計,会計記帳事務等,代表取締役,無,無
521,植松　浩行,60,国税庁福岡国税局課税第二部長,国税,2024-07-10,2024-08-22,税理士法人ASPIRE,税理士業,諫早オフィス社員税理士,無,無
522,植山　隆幸,60,国税庁大阪国税局徴収部長,国税,2024-07-10,2024-09-24,関一也税理士事務所,税理士業,所属税理士,無,無
523,梅川　和哉,60,国税庁高松国税局調査査察部長,国税,2024-07-10,2024-08-01,合同会社オフィスUK,財務・会計サービス業,代表社員,無,無
524,梅川　和哉,60,国税庁高松国税局調査査察部長,国税,2024-07-10,2024-09-24,梅川和哉税理士事務所,税理士業,開業税理士,無,無
525,梅川　和哉,60,国税庁高松国税局調査査察部長,国税,2024-07-10,2024-10-01,株式会社星電,空調、衛生設備工事の施工業,監査役,無,無
526,大澤　由美子,60,国税庁東京国税局東金税務署長,国税,2024-07-10,2024-12-20,ヒルトップ税理士法人,税理士業,事務員,無,無
527,大澤　由美子,60,国税庁東京国税局東金税務署長,国税,2024-07-10,2025-03-25,ヒルトップ税理士法人,税理士業,所属税理士,無,無
528,大隅　秀樹,61,国税庁名古屋国税局浜松東税務署長,国税,2024-07-10,2024-07-29,株式会社いちぐうテラス,福祉住環境のコーディネート業,代表取締役,無,無
529,大隅　秀樹,61,国税庁名古屋国税局浜松東税務署長,国税,2024-07-10,2024-09-24,大隅秀樹税理士事務所,税理士業,開業税理士,無,無
530,大関　吉則,60,国税庁東京国税局千葉東税務署長,国税,2024-07-10,2024-08-22,大関吉則税理士事務所,税理士業,開業税理士,無,無
531,大竹　泰彦,61,国税庁関東信越国税局浦和税務署長,国税,2024-07-10,2024-09-24,大竹泰彦税理士事務所,税理士業,開業税理士,無,無
532,大西　孝幸,60,国税庁大阪国税局和歌山税務署長,国税,2024-07-10,2024-08-22,武田俊彦税理士事務所,税理士業,所属税理士,無,無
533,大橋　輝久,60,国税庁札幌国税局課税部長,国税,2024-07-10,2024-08-22,大橋輝久税理士事務所,税理士業,開業税理士,無,無
534,大橋　輝久,60,国税庁札幌国税局課税部長,国税,2024-07-10,2024-11-01,税理士法人アグス,税理士業,平岸オフィス社員税理士,無,無
535,小川　勝弘,60,国税庁関東信越国税局川越税務署長,国税,2024-07-10,2024-07-11,自営,不動産賃貸,-,無,無
536,小川　勝弘,60,国税庁関東信越国税局川越税務署長,国税,2024-07-10,2024-09-24,小川勝弘税理士事務所,税理士業,開業税理士,無,無
537,梶原　忍,60,国税庁東京国税局日本橋税務署長,国税,2024-07-10,2024-08-22,梶原忍税理士事務所,税理士業,開業税理士,無,無
538,加藤　千博,60,国税庁長官官房付,国税,2024-07-10,2024-09-02,余田幹男税理士事務所,税理士業,事務員,無,無
539,加藤　千博,60,国税庁長官官房付,国税,2024-07-10,2024-10-23,余田幹男税理士事務所,税理士業,所属税理士,無,無
540,加藤　千博,60,国税庁長官官房付,国税,2024-07-10,2025-02-01,加藤千博税理士事務所,税理士業,開業税理士,無,無
541,加藤　敏博,61,国税庁大阪国税局堺税務署長,国税,2024-07-10,2024-08-22,加藤敏博税理士事務所,税理士業,開業税理士,無,無
542,金田　倫之,60,国税庁東京国税局船橋税務署長,国税,2024-07-10,2024-08-22,金田倫之税理士事務所,税理士業,開業税理士,無,無
543,金田　倫之,60,国税庁東京国税局船橋税務署長,国税,2024-07-10,2025-01-01,辻・本郷税理士法人,税理士業,西新宿事務所顧問,無,無
544,加納　直人,60,国税庁大阪国税局神戸税務署長,国税,2024-07-10,2024-08-22,加納直人税理士事務所,税理士業,開業税理士,無,無
545,川端　正晃,60,国税庁大阪国税局阿倍野税務署長,国税,2024-07-10,2025-01-23,川端正晃税理士事務所,税理士業,開業税理士,無,無
546,北川　健司,60,国税庁名古屋国税局岐阜北税務署長,国税,2024-07-10,2024-09-24,北川健司税理士事務所,税理士業,開業税理士,無,無
547,城戸　計子,60,国税庁名古屋国税局大垣税務署長,国税,2024-07-10,2024-09-24,城戸孝輔税理士事務所,税理士業,所属税理士,無,無
548,木村　晃英,60,国税庁名古屋国税局熱田税務署長,国税,2024-07-10,2024-09-24,木村晃英税理士事務所,税理士業,開業税理士,無,無
549,草薙　雅弘,61,国税庁広島国税局徴収部長,国税,2024-07-10,2024-08-22,草薙雅弘税理士事務所,税理士業,開業税理士,無,無
550,草薙　雅弘,61,国税庁広島国税局徴収部長,国税,2024-07-10,2025-02-20,株式会社はなおか,食肉卸売・小売業,社外取締役,無,無
551,工藤　克宜,59,国税庁長官官房付,国税,2024-07-10,2024-09-01,学校法人明海大学,教育・研究,明海大学経済学部教授,無,無
552,窪田　悟嗣,60,国税庁東京国税局調査第四部長,国税,2024-07-10,2024-08-22,窪田悟嗣税理士事務所,税理士業,開業税理士,無,無
553,黒田　豊,61,国税庁大阪国税局右京税務署長,国税,2024-07-10,2024-08-22,黒田豊税理士事務所,税理士業,開業税理士,無,無
554,黒柳　智,60,国税庁名古屋国税局多治見税務署長,国税,2024-07-10,2024-09-24,黒柳智税理士事務所,税理士業,開業税理士,無,無
555,黒柳　智,60,国税庁名古屋国税局多治見税務署長,国税,2024-07-10,2024-11-01,税理士法人名北会計,税理士業,所属税理士,無,無
556,河之口　幹夫,61,国税庁名古屋国税局課税第二部長,国税,2024-07-10,2024-09-24,河之口幹夫税理士事務所,税理士業,開業税理士,無,無
557,小宮山　千代子,61,国税庁関東信越国税局高崎税務署長,国税,2024-07-10,2024-08-19,堀越倫世税理士事務所,税理士業,顧問,無,無
558,小宮山　千代子,61,国税庁関東信越国税局高崎税務署長,国税,2024-07-10,2024-09-24,小宮山敬光税理士事務所,税理士業,所属税理士,無,無
559,小宮山　千代子,61,国税庁関東信越国税局高崎税務署長,国税,2024-07-10,2024-10-01,アスター税理士法人,税理士業,顧問,無,無
560,小宮山　千代子,61,国税庁関東信越国税局高崎税務署長,国税,2024-07-10,2024-11-01,アスター税理士法人,税理士業,社員税理士,無,無
561,阪　正浩,60,国税庁高松国税局高知税務署長,国税,2024-07-10,2024-12-18,青木裕介税理士事務所,税理士業,所属税理士,無,無
562,櫻田　高士,61,国税庁名古屋国税局浜松西税務署長,国税,2024-07-10,2024-07-24,株式会社STAGE,モデル・タレントに関するマネジメント業,所属タレント,無,無
563,櫻田　高士,61,国税庁名古屋国税局浜松西税務署長,国税,2024-07-10,2024-09-03,丸八興業株式会社,人材派遣業、ビルメンテナンス業,契約社員,無,無
564,佐合　一信,61,国税庁名古屋国税局昭和税務署長,国税,2024-07-10,2024-07-11,自営業,不動産賃貸業,-,無,無
565,佐合　一信,61,国税庁名古屋国税局昭和税務署長,国税,2024-07-10,2024-09-06,槌屋ヤック株式会社,自動車用品等の製造、販売,非常勤監査役,無,無
566,佐合　一信,61,国税庁名古屋国税局昭和税務署長,国税,2024-07-10,2024-09-24,佐合一信税理士事務所,税理士業,開業税理士,無,無
567,佐々木　匡之,61,国税庁仙台国税局仙台北税務署長,国税,2024-07-10,2024-09-24,佐々木匡之税理士事務所,税理士業,開業税理士,無,無
568,佐々木　裕司,61,国税庁札幌国税局帯広税務署長,国税,2024-07-10,2024-08-01,西田孝雄税理士事務所,税理士業,事務員,無,無
569,佐々木　裕司,61,国税庁札幌国税局帯広税務署長,国税,2024-07-10,2024-10-23,西田孝雄税理士事務所,税理士業,所属税理士,無,無
570,佐藤　章寿,60,国税庁広島国税局米子税務署長,国税,2024-07-10,2024-09-01,常松佳吉税理士事務所,税理士業,事務員,無,無
571,佐藤　章寿,60,国税庁広島国税局米子税務署長,国税,2024-07-10,2024-10-23,佐藤章寿税理士事務所,税理士業,開業税理士,無,無
572,佐藤　章寿,60,国税庁広島国税局米子税務署長,国税,2024-07-10,2024-10-23,常松佳吉税理士事務所,税理士業,所属税理士,無,無
573,佐藤　修,61,国税庁関東信越国税局調査査察部長,国税,2024-07-10,2024-09-24,佐藤修税理士事務所,税理士業,開業税理士,無,無
574,佐藤　晃,61,国税庁東京国税局調査第二部長,国税,2024-07-10,2024-08-22,佐藤晃税理士事務所,税理士業,開業税理士,無,無
575,佐藤　寿一,60,国税庁東京国税局麹町税務署長,国税,2024-07-10,2024-08-22,佐藤寿一税理士事務所,税理士業,開業税理士,無,無
576,佐藤　秀春,61,国税庁仙台国税局山形税務署長,国税,2024-07-10,2025-02-20,佐藤秀春税理士事務所,税理士業,開業税理士,無,無
577,佐藤　正之,60,財務省大臣官房付,財務省,2024-07-10,2024-11-01,株式会社ANA Cargo,航空貨物事業,顧問,無,無
578,鴫谷　卓郎,61,国税庁大阪国税局西宮税務署長,国税,2024-07-10,2024-08-22,鴫谷卓郎税理士事務所,税理士業,開業税理士,無,無
579,地主　聡,60,国税庁仙台国税局徴収部長,国税,2024-07-10,2024-08-01,宮城県,地方公務,税務嘱託員,無,無
580,島袋　伸,60,国税庁沖縄国税事務所那覇税務署長,国税,2024-07-10,2024-11-20,島袋伸税理士事務所,税理士業,開業税理士,無,無
581,島袋　伸,60,国税庁沖縄国税事務所那覇税務署長,国税,2024-07-10,2024-12-16,本永愼三税理士事務所,税理士業,所属税理士,無,無
582,清水　良樹,60,国税庁名古屋国税局半田税務署長,国税,2024-07-10,2024-09-24,清水良樹税理士事務所,税理士業,開業税理士,無,無
583,下道　正隆,60,国税庁札幌国税局札幌西税務署長,国税,2024-07-10,2024-10-23,下道正隆税理士事務所,税理士業,開業税理士,無,無
584,城　明男,60,国税庁広島国税局廿日市税務署長,国税,2024-07-10,2024-07-11,自営,コンサルタント業,-,無,無
585,白田　徳秀,60,国税庁東京国税局藤沢税務署長,国税,2024-07-10,2024-08-22,白田徳秀税理士事務所,税理士業,開業税理士,無,無
586,白田　徳秀,60,国税庁東京国税局藤沢税務署長,国税,2024-07-10,2024-09-01,株式会社ジーネットシステム,不動産賃貸業,社員,無,無
587,高橋　英樹,61,国税庁札幌国税局札幌南税務署長,国税,2024-07-10,2024-08-22,高橋英樹税理士事務所,税理士業,開業税理士,無,無
588,髙橋　学,60,国税庁札幌国税局釧路税務署長,国税,2024-07-10,2024-09-24,髙橋学税理士事務所,税理士業,開業税理士,無,無
589,髙橋　学,60,国税庁札幌国税局釧路税務署長,国税,2024-07-10,2024-11-27,絹川辰夫税理士事務所,税理士業,所属税理士,無,無
590,竹内　俊一,60,国税庁名古屋国税局岐阜南税務署長,国税,2024-07-10,2024-08-01,辻・本郷税理士法人,税理士業,契約社員,無,無
591,竹内　俊一,60,国税庁名古屋国税局岐阜南税務署長,国税,2024-07-10,2024-09-24,辻・本郷税理士法人,税理士業,豊橋事務所社員税理士,無,無
592,田尻　寿人,60,国税庁福岡国税局博多税務署長,国税,2024-07-10,2024-08-01,日本医療サービス株式会社,医療事業,九州地区経理部企画課長,無,無
593,但野　浩司,60,国税庁仙台国税局仙台中税務署長,国税,2024-07-10,2024-09-24,但野浩司税理士事務所,税理士業,開業税理士,無,無
594,但野　浩司,60,国税庁仙台国税局仙台中税務署長,国税,2024-07-10,2024-09-24,有限会社青山経営経理研究所,会計記帳事務,代表取締役,無,無
595,唯間　秀隆,60,国税庁広島国税局福山税務署長,国税,2024-07-10,2024-08-22,唯間秀隆税理士事務所,税理士業,開業税理士,無,無
596,田中　厚,61,国税庁関東信越国税局春日部税務署長,国税,2024-07-10,2024-09-18,初谷建設株式会社,建設業,監査役,無,無
597,田中　厚,61,国税庁関東信越国税局春日部税務署長,国税,2024-07-10,2024-09-24,田中厚税理士事務所,税理士業,開業税理士,無,無
598,谷内　二郎,60,財務省理財局局付,財務省,2024-07-10,2024-10-01,東京地下鉄株式会社,旅客鉄道事業,経営企画本部経営管理部調査役,無,無
599,千葉　治彦,60,国税庁仙台国税局仙台南税務署長,国税,2024-07-10,2024-09-24,税理士法人アビーナリーマネジメント,税理士業,社員税理士,無,無
600,辻　和伸,61,国税庁高松国税局徳島税務署長,国税,2024-07-10,2024-07-29,シュヴァルラパン合同会社,財務・会計サービス業,代表社員,無,無
601,辻　和伸,61,国税庁高松国税局徳島税務署長,国税,2024-07-10,2024-09-24,辻和伸税理士事務所,税理士業,開業税理士,無,無
602,土井　康行,60,財務省大臣官房付,財務省,2024-07-10,2024-11-01,第一生命保険株式会社,保険事業,公法人部顧問,無,無
603,長野　聡,60,国税庁東京国税局練馬東税務署長,国税,2024-07-10,2024-10-01,日本洋酒酒造組合,酒税の円滑な納税促進と酒類業界の安定及び発展に資する事業,事務局長,無,無
604,長野　聡,60,国税庁東京国税局練馬東税務署長,国税,2024-07-10,2024-10-01,日本ワイナリー協会,日本ワイン業界の発展と会員の親睦に関する業務,事務局長,無,無
605,長野　康宏,61,国税庁福岡国税局香椎税務署長,国税,2024-07-10,2024-08-22,長野康宏税理士事務所,税理士業,開業税理士,無,無
606,中之薗　裕司,60,国税庁大阪国税局枚方税務署長,国税,2024-07-10,2024-08-22,中之薗裕司税理士事務所,税理士業,開業税理士,無,無
607,新井場　敏勝,60,国税庁仙台国税局盛岡税務署長,国税,2024-07-10,2024-08-01,株式会社佐々木会計事務所,記帳代行業,取締役,無,無
608,新井場　敏勝,60,国税庁仙台国税局盛岡税務署長,国税,2024-07-10,2024-08-01,佐々木德先税理士事務所,税理士業,事務員,無,無
609,新井場　敏勝,60,国税庁仙台国税局盛岡税務署長,国税,2024-07-10,2024-09-24,佐々木德先税理士事務所,税理士業,所属税理士,無,無
610,西川　進,60,国税庁広島国税局課税第一部長,国税,2024-07-10,2024-08-22,西川進税理士事務所,税理士業,開業税理士,無,無
611,西野　武,60,国税庁東京国税局品川税務署長,国税,2024-07-10,2024-08-22,西野武税理士事務所,税理士業,開業税理士,無,無
612,西原　信一郎,60,国税庁関東信越国税局徴収部長,国税,2024-07-10,2024-09-24,西原信一郎税理士事務所,税理士業,開業税理士,無,無
613,野﨑　隆範,59,国税庁長官官房総務課監督評価官室名古屋派遣監督評価官室長,総務省,2024-07-10,2024-09-24,野﨑隆範税理士事務所,税理士業,開業税理士,無,無
614,野原　久照,60,国税庁大阪国税局南税務署長,国税,2024-07-10,2025-01-23,野原久照税理士事務所,税理士業,開業税理士,無,無
615,野平　雄二,60,国税庁大阪国税局龍野税務署長,国税,2024-07-10,2024-07-22,公益社団法人相生納税協会,税務知識の普及と納税意識の高揚に資する各種事業等,専務理事,無,無
616,野平　雄二,60,国税庁大阪国税局龍野税務署長,国税,2024-07-10,2024-10-23,野平雄二税理士事務所,税理士業,開業税理士,無,無
617,信本　努,61,国税庁東京国税局江戸川北税務署長,国税,2024-07-10,2024-08-22,信本努税理士事務所,税理士業,開業税理士,無,無
618,信本　努,61,国税庁東京国税局江戸川北税務署長,国税,2024-07-10,2024-10-31,MAC&BPミッドランド税理士法人,税理士業,東京日本橋オフィス顧問,無,無
619,野村　浩一,61,国税庁大阪国税局東税務署長,国税,2024-07-10,2024-08-22,野村浩一税理士事務所,税理士業,開業税理士,無,無
620,野村　尚史,61,国税庁東京国税局荏原税務署長,国税,2024-07-10,2024-08-22,野村尚史税理士事務所,税理士業,開業税理士,無,無
621,橋本　彩子,60,国税庁広島国税局倉敷税務署長,国税,2024-07-10,2024-09-02,地方独立行政法人広島市立病院機構,医療事業,事務員,無,無
